"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2","NOM_DANS_DHIS2","DISTRICT","REGION",,,
210241014,"CSB2 Bobakilandy","vMfCLDvL8qT","CSB2 Bobakilandy","Antsiranana II","DIANA",,,
210241015,"CSB2 Bobasakoa","bJD2DzCZmHZ","CSB2 Bobasakoa","Antsiranana II","DIANA",,,
210241029,"CSB2 Joffre Ville","n8KDnDLDu3Y","CSB2 Joffre Ville","Antsiranana II","DIANA",,,
210241017,"CSB2 Mahalina","yPSYALQxVv2","CSB2 Mahalina","Antsiranana II","DIANA",,,
210241018,"CSB2 Mahavanona","wnWoQcrvINJ","CSB2 Mahavanona","Antsiranana II","DIANA",,,
210241019,"CSB2 Mangaoka","Zmgnljl5frE","CSB2 Mangaoka","Antsiranana II","DIANA",,,
210241023,"CSB2 Masorolava","oSeJMCAtsel","CSB2 Mosorolava","Antsiranana II","DIANA",,,
210241025,"CSB2 Ramena","ojwvXYvPWDV","CSB2 Ramena","Antsiranana II","DIANA",,,
210241027,"CSB2 Sadjoavato","QS9UStOwRhb","CSB2 Sadjoavato","Antsiranana II","DIANA",,,
210241026,"CSB2 Sakaramy","xLS8YAlIui7","CSB2 Sakaramy","Antsiranana II","DIANA",,,
210541001,"CSB2 Hellville","YXrOBuUTzd8","CSB2 Hell Ville","Nosy Be","DIANA",,,
210551006,"CSB1 Ambatoloaka","jCfsk2N38w9","CSB1 Ambatoloaka","Nosy Be","DIANA",,,
210551010,"CSB1 Andimakabo","r0a3jFnWiqb","CSB1 Andimakabo","Nosy Be","DIANA",,,
210551011,"CSB1 ANJIABE","Q9XMcxvZ7Mo","CSB1 Anjiabe","Nosy Be","DIANA",,,
210551007,"CSB1 Antsatrabevoa","HLLMAkSKxZG","CSB1 Antsatrabevoa","Nosy Be","DIANA",,,
210551009,"CSB1 Befotaka","WJ6F5g0zrhb","CSB1 Befotaka","Nosy Be","DIANA",,,
210553016,"CSB1 Fifotifa","byHIyeaEPVh","FSP_ Fifotifa Privé","Nosy Be","DIANA",,,
210551008,"CSB1 Marokindro","jYjAgoFgPkJ","CSB1 Marokindro","Nosy Be","DIANA",,,
210551012,"CSB1 Mont Passot","VlBYwdSCyMp","CSB1 Mont Passot","Nosy Be","DIANA",,,
210553017,"CSB1 SAKATIA","nP5QCuaLhCU","FSP_Sakatia Priv�","Nosy Be","DIANA",,,
210541004,"CSB2 Ambatozavavy","QugqTIjhGFf","CSB2 Ambatozavavy","Nosy Be","DIANA",,,
210543014,"CSB2 Ambohiday","qTcPXhyYfIF","FSP_ Ambohiday Privé","Nosy Be","DIANA",,,
210541005,"CSB2 Ampangoriana","wGRycTj71ss","CSB2 Ampangoriana","Nosy Be","DIANA",,,
210541003,"CSB2 Bemanondrobe","OydohAieT2Y","CSB2 Bemanondrobe","Nosy Be","DIANA",,,
210541002,"CSB2 Dzamandzar","fCnxJCWliZ6","CSB2 Dzamandzar","Nosy Be","DIANA",,,
210543012,"CSB2 Espace Medical","Si7crJ4iZf4","FSP_ Espace Medical Privé","Nosy Be","DIANA",,,
210543011,"CSB2 OMINO","vDm9mHCOEWY","FSP_ OMINO  Privé","Nosy Be","DIANA",,,
220251006,"CSB1 Ambohimarina","Qzgv1i1v2l0","CSB1 Ambohimarina","Andapa","SAVA",,,
220251008,"CSB1 Ampotsilahy","epctUTB67ji","CSB1 Ampontsilahy","Andapa","SAVA",,,
220251027,"CSB1 Andapahely","rNUJUuDbnC7","CSB1 Andapahely","Andapa","SAVA",,,
220251009,"CSB1 Andilandrano","kHCDYrRUaWy","CSB1 Andilandrano","Andapa","SAVA",,,
220251023,"CSB1 Anjialavakely","GikFBmzThpI","CSB1 Anjialavahely","Andapa","SAVA",,,
220251024,"CSB1 Antsahaberaoka","LIUbco8Ejff","CSB1 Antsahaberaoka","Andapa","SAVA",,,
220251018,"CSB1 Belambo Lokoho","RPYxjADrxjb","CSB1 Belambo Lokoho","Andapa","SAVA",,,
220252002,"CSB1 Notre Dame","XNCi0Mpbx17","CSB1 Notre Dame Andapa","Andapa","SAVA",,,
220241003,"CSB2 Ambalamanasy  II","ZJawB01uo47","CSB2 Ambalamanasy II","Andapa","SAVA",,,
220241011,"CSB2 Ambalavelona","IPAeo2PCMIB","CSB2 Ambalavelona","Andapa","SAVA",,,
220241005,"CSB2 Ambodiangezoka","rWDlwFeIvWG","CSB2 Ambodiangezoka","Andapa","SAVA",,,
220241007,"CSB2 Ambodimanga I","irXKrBUOY1U","CSB2 Ambodimanga I","Andapa","SAVA",,,
220241001,"CSB2 Andapa","a2qdevZEt9U","CSB2 Andapa","Andapa","SAVA",,,
220241004,"CSB2 Andasibe-Koboahina","qeD4zA8PIGX","CSB2 Andasibe Koboahina","Andapa","SAVA",,,
220241010,"CSB2 Andrakata","jJj3mKFfDx3","CSB2 Andrakata","Andapa","SAVA",,,
220241013,"CSB2 Anjialavabe","Iv3pJT94nJr","CSB2 Anjialavabe","Andapa","SAVA",,,
220241015,"CSB2 Anoviara","X5iGRMrMEj4","CSB2 Anoviara","Andapa","SAVA",,,
220241020,"CSB2 Antanambaobe","rANIDWcPvUL","CSB2 Antanambaobe","Andapa","SAVA",,,
220241016,"CSB2 Antsahamena","bc2zEJW3MX4","CSB2 Antsahamena","Andapa","SAVA",,,
220241017,"CSB2 Belampoana","I3co3v6n9No","CSB2 Bealampona","Andapa","SAVA",,,
220241029,"CSB2 Belaoka-Lokoho","qmFkQ9hWgLj","CSB2 Belaoka Lokoho","Andapa","SAVA",,,
220251019,"CSB2 Belaoko Marovato","ydLWHXppCGS","CSB1 Belaoka Marovato","Andapa","SAVA",,,
220241021,"CSB2 Betsakotsako Andranotsara","jMZzaIZRITa","CSB2 Betsakotsako Andranotsara","Andapa","SAVA",,,
220241022,"CSB2 Doany","j4GzJw02Nv0","CSB2 Doany","Andapa","SAVA",,,
220241014,"CSB2 Marokoboay","Vxi7eishCci","CSB2 Marokobay","Andapa","SAVA",,,
220241025,"CSB2 Marovato","W64SrdX53Iu","CSB2 Marovato","Andapa","SAVA",,,
220241026,"CSB2 Matsohely","wjenW1RMngl","CSB2 Matsohely","Andapa","SAVA",,,
220241028,"CSB2 Tanandava","qly5DB2EZvF","CSB2 Tanandava","Andapa","SAVA",,,
220341001,"CSB2 Ambalabe","iu2RQ0tnrRc","CSB2 Ambalabe","Antalaha","SAVA",,,
220351038,"CSB1 Ambodimanga","lpN1CG6KbFc","CSB1 Ambodimanga","Antalaha","SAVA",,,
220351029,"CSB1 Analanantsoa","hACZXaaf7RI","CSB1 Analanantsoa","Antalaha","SAVA",,,
220351006,"CSB1 Andamasina","lXLFmcLnYzj","CSB2 Andamasina","Antalaha","SAVA",,,
220351010,"CSB1 Andampy","h2tDNuaLYy0","CSB1 Andampy","Antalaha","SAVA",,,
220351027,"CSB1 Andranomena","FaOTFKvtLFI","CSB1 Andranomena","Antalaha","SAVA",,,
220351005,"CSB1 Andrapengy","MVuAoMr9Jil","CSB1 Andrapengy","Antalaha","SAVA",,,
220351022,"CSB1 Antananambo","HPLqS2OOny0","CSB1 Antananambo","Antalaha","SAVA",,,
220351024,"CSB1 Antombana","OmlMMuCxF4j","CSB1 Antombana","Antalaha","SAVA",,,
220351036,"CSB1 Antsahabeorana","aXyPDiwEUN2","CSB1 Antsahabeorana","Antalaha","SAVA",,,
220351032,"CSB1 Antsambalahy Ankavia","a8h3CeQMtYZ","CSB1 Antsambalahy II Ankavia","Antalaha","SAVA",,,
220351037,"CSB1 Fampotabe","gw20Ul3vFn1","CSB1 Fampotabe","Antalaha","SAVA",,,
220351031,"CSB1 Manakambahiny","pIgGAes1mIZ","CSB1 Manakambahiny","Antalaha","SAVA",,,
220351020,"CSB1 Ratsianarana","XSHxKiVZqCT","CSB1 Ratsianarana","Antalaha","SAVA",,,
220351009,"CSB1 Sahantaha","VgrSyGCig1y","CSB1 Sahanataha","Antalaha","SAVA",,,
220341002,"CSB2 Ambinanifaho","dhu4hBvGB1g","CSB2 Ambinanifaho","Antalaha","SAVA",,,
