cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,120113,120141044,9,21,,,,,,,,,,,,
2015,120113,120141044,10,21,,,,,,,,,,,,
2015,120113,120141044,11,21,,,,,,,,,,,,
2015,120113,120141044,12,21,,,,,,,,,,,,
2015,130213,130243024,12,21,,,,,,,,,,,,
2015,130305,130342008,8,21,,,,,,,,,,,,
2015,130305,130342008,10,21,,,,,,,,,,,,
2015,130305,130342008,11,21,,,,,,,,,,,,
2015,140101,140142019,4,21,,,,,,,,,,,,
2015,140101,140142019,5,21,,,,,,,,,,,,
2015,140101,140142019,6,21,,,,,,,,,,,,
2015,140101,140142019,7,21,,,,,,,,,,,,
2015,140101,140142019,8,21,,,,,,,,,,,,
2015,140101,140142019,9,21,,,,,,,,,,,,
2015,140101,140142019,10,21,,,,,,,,,,,,
2015,140101,140142019,11,21,,,,,,,,,,,,
2015,140101,140142019,12,21,,,,,,,,,,,,
2015,140101,140142028,4,21,,,,,,,,,,,,
2015,140101,140142028,5,21,11,11,3,1,9,,35,47,13,3,26,
2015,140101,140142028,6,21,9,12,2,1,9,,38,49,4,19,26,
2015,140101,140142028,7,21,2,3,,1,2,,30,40,2,21,23,
2015,140101,140142028,8,21,3,5,3,1,1,,47,64,5,23,32,4
2015,140101,140142028,9,21,4,7,2,3,2,,30,57,7,28,22,
2015,140101,140142028,10,21,3,5,,1,4,,45,65,5,32,28,
2015,140101,140142028,11,21,6,14,,6,8,,72,168,13,83,72,
2015,140101,140142028,12,21,10,10,3,4,3,,51,77,3,44,30,
2015,140101,140143007,4,21,,,,,,,,,,,,
2015,140101,140143007,5,21,,,,,,,,,,,,
2015,140101,140143007,6,21,,,,,,,,,,,,
2015,140101,140143007,7,21,,,,,,,,,,,,
2015,140101,140143007,8,21,,,,,,,,,,,,
2015,140101,140143007,9,21,,,,,,,,,,,,
2015,140101,140143007,10,21,,,,,,,,,,,,
2015,140101,140143007,11,21,,,,,,,,,,,,
2015,140101,140143007,12,21,,,,,,,,,,,,
2015,140101,140143010,4,21,,,,,,,,,,,,
2015,140101,140143010,5,21,,,,,,,,,,,,
2015,140101,140143010,6,21,,,,,,,,,,,,
2015,140101,140143010,7,21,,,,,,,,,,,,
2015,140101,140143010,8,21,,,,,,,,,,,,
2015,140101,140143010,9,21,,,,,,,,,,,,
2015,140101,140143010,10,21,,,,,,,,,,,,
2015,140101,140143010,11,21,,,,,,,,,,,,
2015,140101,140143010,12,21,,,,,,,,,,,,
2015,140101,140143013,4,21,,,,,,,,,,,,
2015,140101,140143013,8,21,4,4,,4,,,14,20,,18,,
2015,140101,140143013,9,21,,,,,,,,,,,,
2015,140101,140143013,10,21,3,3,2,1,,,21,34,3,28,3,
2015,140101,140143013,11,21,,,,,,,,,,,,
2015,140101,140143013,12,21,6,6,2,3,1,,10,10,,10,,
2015,140101,140143014,4,21,,,,,,,,,,,,
2015,140101,140143014,5,21,,,,,,,,,,,,
2015,140101,140143014,6,21,,,,,,,,,,,,
2015,140101,140143014,7,21,,,,,,,,,,,,
2015,140101,140143014,8,21,,,,,,,,,,,,
2015,140101,140143014,9,21,,,,,,,,,,,,
2015,140101,140143014,10,21,,,,,,,,,,,,
2015,140101,140143014,11,21,,,,,,,,,,,,
2015,140101,140143014,12,21,,,,,,,,,,,,
2015,140101,140143029,4,21,,,,,,,,,,,,
