cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cPRESM_SDM,cPRESM_QRDM,cPRESM_QU,cPRESM_QP,cPRESM_QRFM,cPRESM_NJRS,cPRESF_SDM,cPRESF_QRDM,cPRESF_QU,cPRESF_QP,cPRESF_QRFM,cPRESF_NJRS,cBP_SDM,cBP_QRDM,cBP_QU,cBP_QP,cBP_QRFM,cBP_NJRS,cEPPI10ml_SDM,cEPPI10ml_QRDM,cEPPI10ml_QU,cEPPI10ml_QP,cEPPI10ml_QRFM,cEPPI10ml_NJRS,cSER10ml_SDM,cSER10ml_QRDM,cSER10ml_QU,cSER10ml_QP,cSER10ml_QRFM,cSER10ml_NJRS,cKITEG_SDM,cKITEG_QRDM,cKITEG_QU,cKITEG_QP,cKITEG_QRFM,cKITEG_NJRS,cKITUG_SDM,cKITUG_QRDM,cKITUG_QU,cKITUG_QP,cKITUG_QRFM,cKITUG_NJRS,cBIOL_SDM,cBIOL_QRDM,cBIOL_QU,cBIOL_QP,cBIOL_QRFM,cBIOL_NJRS,cRPR_CONS_SDM,cRPR_CONS_QRDM,cRPR_CONS_QU,cRPR_CONS_QP,cRPR_CONS_QRFM,cRPR_CONS_NJRS,cTEST1_VIH_SDM,cTEST1_VIH_QRDM,cTEST1_VIH_QU,cTEST1_VIH_QP,cTEST1_VIH_QRFM,cTEST1_VIH_NJRS,cTEST2_VIH_SDM,cTEST2_VIH_QRDM,cTEST2_VIH_QU,cTEST2_VIH_QP,cTEST2_VIH_QRFM,cTEST2_VIH_NJRS,cPLUM_NUT_SDM,cPLUM_NUT_QRDM,cPLUM_NUT_QU,cPLUM_NUT_QP,cPLUM_NUT_QRFM,cPLUM_NUT_NJRS,cAMOX_SDM,cAMOX_QRDM,cAMOX_QU,cAMOX_QP,cAMOX_QRFM,cAMOX_NJRS,cVITA_SDM,cVITA_QRDM,cVITA_QU,cVITA_QP,cVITA_QRFM,cVITA_NJRS,cALB_SDM,cALB_QRDM,cALB_QU,cALB_QP,cALB_QRFM,cALB_NJRS,cLOF_MI_SDM,cLOF_MI_QRDM,cLOF_MI_QU,cLOF_MI_QP,cLOF_MI_QRFM,cLOF_MI_NJRS,cOV_MIC_SDM,cOV_MIC_QRDM,cOV_MIC_QU,cOV_MIC_QP,cOV_MIC_QRFM,cOV_MIC_NJRS,cDEPO_SDM,cDEPO_QRDM,cDEPO_QU,cDEPO_QP,cDEPO_QRFM,cDEPO_NJRS,cMEG_SDM,cMEG_QRDM,cMEG_QU,cMEG_QP,cMEG_QRFM,cMEG_NJRS,cCONC_SDM,cCONC_QRDM,cCONC_QU,cCONC_QP,cCONC_QRFM,cCONC_NJRS,cDIU_SDM,cDIU_QRDM,cDIU_QU,cDIU_QP,cDIU_QRFM,cDIU_NJRS,cIPLN_SDM,cIPLN_QRDM,cIPLN_QU,cIPLN_QP,cIPLN_QRFM,cIPLN_NJRS,cCOXY_SDM,cCOXY_QRDM,cCOXY_QU,cCOXY_QP,cCOXY_QRFM,cCOXY_NJRS
2015,110103,110142066,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,62,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,62,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,62,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,62,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110303,110342008,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,5,,12,,,,,,,,30,,114,,-84,,,,,,,,,,,,,,4,,,,4,,10,,,,10,,,,,,,
2015,110305,110342016,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,35,,55,,,,,,,,93,100,55,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,143,,808,,30,,10,,20,,1025,1375,457,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,29,,36,,,,,,,,,200,38,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,,100,,708,,20,,10,,10,,1943,,563,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,31,,5,,,,,,,,162,,45,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,118,192,,634,,10,16,10,,16,,1165,900,335,,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,120,26,,99,,,,,,,,117,,35,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,,85,,549,,16,,13,,3,,1730,,502,,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,22,,77,,,,,,,,82,,27,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,234,140,,643,,3,44,15,,32,,1228,1000,533,,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,40,,37,,,,,,,,55,,44,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,,105,,538,,32,,12,,20,,1695,,423,,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,31,,0,,,,,,,,11,200,54,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,635,161,,1012,,20,34,12,,42,,1272,1050,501,,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110342016,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,33,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,98,,914,,42,,12,,30,,1821,,520,,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
