cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cBCG_SDM,cBCG_QRDM,cBCG_QU,cBCG_QP,cBCG_QRFM,cBCG_NJRS,cVPO_SDM,cVPO_QRDM,cVPO_QU,cVPO_QP,cVPO_QRFM,cVPO_NJRS,cVPI_SDM,cVPI_QRDM,cVPI_QU,cVPI_QP,cVPI_QRFM,cVPI_NJRS,cDTCHBH_SDM,cDTCHBH_QRDM,cDTCHBH_QU,cDTCHBH_QP,cDTCHBH_QRFM,cDTCHBH_NJRS,cPCV10_SDM,cPCV10_QRDM,cPCV10_QU,cPCV10_QP,cPCV10_QRFM,cPCV10_NJRS,cROTA_SDM,cROTA_QRDM,cROTA_QU,cROTA_QP,cROTA_QRFM,cROTA_NJRS,cVAR_SDM,cVAR_QRDM,cVAR_QU,cVAR_QP,cVAR_QRFM,cVAR_NJRS,cVAT_SDM,cVAT_QRDM,cVAT_QU,cVAT_QP,cVAT_QRFM,cVAT_NJRS,cHPV_SDM,cHPV_QRDM,cHPV_QU,cHPV_QP,cHPV_QRFM,cHPV_NJRS,cSAB05ml_SDM,cSAB05ml_QRDM,cSAB05ml_QU,cSAB05ml_QP,cSAB05ml_QRFM,cSAB05ml_NJRS,cSAB005ml_SDM,cSAB005ml_QRDM,cSAB005ml_QU,cSAB005ml_QP,cSAB005ml_QRFM,cSAB005ml_NJRS,cSER2ml_SDM,cSER2ml_QRDM,cSER2ml_QU,cSER2ml_QP,cSER2ml_QRFM,cSER2ml_NJRS,cSER5ml_SDM,cSER5ml_QRDM,cSER5ml_QU,cSER5ml_QP,cSER5ml_QRFM,cSER5ml_NJRS,cBSECU_SDM,cBSECU_QRDM,cBSECU_QU,cBSECU_QP,cBSECU_QRFM,cBSECU_NJRS,cSOLVBCG_SDM,cSOLVBCG_QRDM,cSOLVBCG_QU,cSOLVBCG_QP,cSOLVBCG_QRFM,cSOLVBCG_NJRS,cSOLVAR_SDM,cSOLVAR_QRDM,cSOLVAR_QU,cSOLVAR_QP,cSOLVAR_QRFM,cSOLVAR_NJRS,cPETRO_SDM,cPETRO_QRDM,cPETRO_QU,cPETRO_QP,cPETRO_QRFM,cPETRO_NJRS,cSPFE_SDM,cSPFE_QRDM,cSPFE_QU,cSPFE_QP,cSPFE_QRFM,cSPFE_NJRS,cRDT_SDM,cRDT_QRDM,cRDT_QU,cRDT_QP,cRDT_QRFM,cRDT_NJRS,cACT021m_SDM,cACT021m_QRDM,cACT021m_QU,cACT021m_QP,cACT021m_QRFM,cACT021m_NJRS,cACT0105a_SDM,cACT0105a_QRDM,cACT0105a_QU,cACT0105a_QP,cACT0105a_QRFM,cACT0105a_NJRS,cACT0613a_SDM,cACT0613a_QRDM,cACT0613a_QU,cACT0613a_QP,cACT0613a_QRFM,cACT0613a_NJRS,cACT1499a_SDM,cACT1499a_QRDM,cACT1499a_QU,cACT1499a_QP,cACT1499a_QRFM,cACT1499a_NJRS,cMID_SDM,cMID_QRDM,cMID_QU,cMID_QP,cMID_QRFM,cMID_NJRS,cAUTPROPALU_SDM,cAUTPROPALU_QRDM,cAUTPROPALU_QU,cAUTPROPALU_QP,cAUTPROPALU_QRFM,cAUTPROPALU_NJRS
2015,110102,110143046,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110102,110143046,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110102,110143105,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,3,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,2,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,2,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110104,110143083,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,04,21,,60,20,,40,,20,120,100,,40,,,,,,,,10,110,80,,40,,4,116,80,,40,,5,74,53,,26,,,60,30,,30,,20,40,40,,20,,,,,,,,64,326,200,,190,,12,40,8,,44,,,3,1,,2,,1,3,3,,1,,,3,1,,2,,,6,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,05,21,40,20,20,,40,,40,280,300,,20,,,45,30,,15,,40,70,90,,20,,40,64,88,,16,,26,41,56,,11,,30,30,30,,30,,20,20,20,,20,,,,,,,,190,214,229,,175,,44,,7,,37,,2,1,1,,2,,3,3,3,,3,,1,2,3,,,,2,1,1,,2,,3,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,06,21,40,,20,,20,,20,60,80,,0,,15,20,35,,0,,20,60,80,,0,,16,80,96,,0,,11,61,67,,5,,30,,20,,10,,20,20,40,,0,,,,,,,,175,155,246,,84,,37,,10,,27,,2,,1,,1,,3,,2,,1,,,2,2,,0,,2,,1,,1,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,07,21,20,20,20,,20,,,140,80,,60,,,35,35,,,5,,100,80,,20,,,90,90,,,5,5,51,56,,,5,10,30,30,,10,,,20,20,,,5,,,,,,,84,315,214,,185,,27,7,9,,25,,1,1,1,,1,,1,3,3,,1,,1,3,3,,1,,,3,3,,,,1,1,1,,1,,1,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,08,21,20,20,40,,,6,60,120,180,,,4,,50,45,,5,,20,70,80,,10,,,114,106,,8,,,76,65,,11,,10,30,30,,10,,,40,40,,,,,,,,,,185,224,213,,196,,25,20,22,,23,,1,1,2,,,6,1,3,3,,1,,,3,3,,,,1,1,2,,,6,1,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,09,21,,,,,,,,420,340,,80,,5,45,25,,25,,10,140,100,,50,,8,128,92,,44,,11,82,68,,25,,10,40,20,,30,,,60,40,,20,,,,,,,,196,323,252,,267,,23,,,,23,,,,,,,,1,4,2,,3,,,4,3,,1,,0,0,0,0,0,,1,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,10,21,,60,60,,0,20,80,280,360,,0,4,25,25,50,,0,4,50,80,120,,10,,44,60,104,,0,4,25,40,64,,1,,30,,30,,0,20,20,40,60,,0,,,,,,,,267,140,350,,57,,23,40,50,,13,,,3,3,,0,20,3,,3,,0,20,1,2,3,,0,20,,3,3,,0,20,3,,3,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,11,21,,60,60,,0,,,140,120,,20,,,35,35,,0,,10,110,100,,20,,,114,96,,18,,,61,61,,0,,,30,30,,0,,,60,40,,20,,,,,,,,57,250,268,,39,,13,50,30,,33,,,3,3,,0,,,3,3,,0,,,3,3,,0,,,3,3,,0,,,3,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110105,110142111,12,21,,40,40,,,28,20,240,240,,20,,,40,40,,,14,20,60,80,,,14,18,60,78,,,14,,41,38,,3,,,30,30,,,28,20,20,20,,20,,,,,,,,39,210,231,,18,,33,20,23,,30,,,2,2,,,28,,3,3,,,8,,2,2,,,28,,3,3,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,04,21,40,,20,,20,,60,,40,,20,,,,,,,,30,,20,,10,,22,,22,,0,,24,,11,,13,,30,,10,,20,,40,,,,40,,,,,,,,112,,52,,60,,127,,11,,116,,2,,1,,1,,2,,1,,1,,2,,1,,1,,2,,1,,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,05,21,20,60,40,,40,,20,100,40,,80,,,30,15,,15,,10,60,30,,40,,,60,30,,30,,13,45,18,,40,,20,60,40,,40,,40,20,20,,40,,,,,,,,60,200,90,,170,,116,,16,,100,,1,3,2,,2,,1,,1,,0,,1,2,2,,1,,1,3,2,,2,,1,6,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,06,21,40,,20,,20,,80,,40,,40,,15,,15,,0,,40,,40,,0,,30,,30,,0,,40,,19,,21,,40,,20,,20,,40,0,20,20,0,,,,,,,,170,,79,,91,,100,,8,,92,,2,,1,,1,,,,,,,,1,,1,,0,,2,,1,,1,,3,1,2,,2,,,,,,,,,,,,,,,25,,0,25,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,,,,,,,4,,,4,
2015,110218,110243042,07,21,20,20,20,,20,,40,80,40,,80,,,30,15,,15,,,80,30,,50,,,80,32,,48,,21,30,18,,33,,20,10,10,,20,,,20,,,20,,,,,,,,91,200,99,1,191,,92,,16,,76,,1,1,1,,1,,,1,1,,0,,,2,1,,1,,1,1,1,,1,0,2,1,1,,2,,,,,,,,,,,,,,25,,,,25,,2,,,,2,0,2,,,,2,,2,,,,2,,1,,,,1,,,,,,,,4,,,,4,
