cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cEJVVM_0609a,cEJVVM_1014a,cEJVVM_1524a,cEJVVM_TOTAL,cEJPBSAN_0609a,cEJPBSAN_1014a,cEJPBSAN_1524a,cEJPBSAN_TOTAL,cTESTKIT_NECHEFF,cTESTKIT_NTPOS,cFER_F,cFER_G,cFAF_F,cFAF_G
2015,110207,110243069,4,21,,,,,,,,,,,,,,
2015,110208,110241011,5,21,,,,,,,,,,,,,,
2015,110208,110241011,7,21,,,,,,,,,,,,,,
2015,110208,110241011,8,21,,,,,,,,,,,,,,
2015,110208,110241011,9,21,,,4,4,,,,,,,,,,
2015,110208,110241011,10,21,,,,,,,,,,,,,,
2015,110208,110241011,11,21,,,,,,,,,,,,,,
2015,110208,110241011,12,21,,,,,,,,,,,,,,
2015,110209,110241012,4,21,,,,,,,,,,,,,,
2015,110209,110241012,5,21,,,,,,,,,,,,,,
2015,110209,110241012,7,21,,,,,,,,,,,,,,
2015,110209,110241012,8,21,,,,,,,,,,,,,,
2015,110209,110241012,9,21,4,14,20,38,,,,,,,,,,
2015,110209,110241012,10,21,,,,,,,,,,,,,,
2015,110209,110241012,11,21,,,,,,,,,,,,,,
2015,110209,110241012,12,21,,,,,,,,,,,,,,
2015,110209,110243013,5,21,,,,,,,,,,,,,,
2015,110209,110243013,12,21,,,,,,,,,,,,,,
2015,110209,110243058,8,21,,,,,,,,,,,,,,
2015,110209,110243058,10,21,,,,,,,,,,,,,,
2015,110209,110243058,11,21,,,,,,,,,,,,,,
2015,110209,110243058,12,21,,,,,,,,,,,,,,
2015,110210,110241014,4,21,,,,,,,,,,,,,,
2015,110210,110241014,5,21,11,116,41,168,,,,,,,,,76,
2015,110210,110241014,6,21,1,,,1,,,,,,,,,,
2015,110210,110241014,7,21,1,3,4,8,,,,,,,,,,
2015,110210,110241014,8,21,3,5,3,11,,,,,,,,,,
2015,110210,110241014,9,21,3,10,4,17,,,,,,,9,8,,
2015,110210,110241014,10,21,5,41,46,92,,,,,,,,,,
2015,110210,110241014,11,21,15,21,33,69,,,,,,,,,,
2015,110210,110241014,12,21,30,64,42,136,0,0,0,0,,,,,,
2015,110210,110242015,5,21,,,,,,,,,,,,,,
2015,110210,110242015,7,21,,,,,,,,,,,,,,
2015,110210,110242015,8,21,,,,,,,,,,,,,,
2015,110210,110242015,9,21,,,,,,,,,,,,,,
2015,110210,110242015,10,21,,,,,,,,,,,,,,
2015,110210,110242015,11,21,,,,,,,,,,,,,,
2015,110210,110242015,12,21,,,,,,,,,,,,,,
2015,110211,110241016,4,21,,,,,,,,,,,,,,
2015,110211,110241016,5,21,,,,,,,,,,,,,,
2015,110211,110241016,6,21,,,,,,,,,,,,,,
2015,110211,110241016,7,21,,,,,,,,,,,,,,
2015,110211,110241016,8,21,,,,,,,,,,,,,,
2015,110211,110241016,9,21,175,76,117,368,2,2,3,7,,,,,,
2015,110211,110241016,10,21,59,169,226,454,35,40,64,139,,,,,,
2015,110211,110241016,11,21,,,,,,,,,,,,,,
2015,110211,110241016,12,21,,,,,,,,,,,,,,
2015,110211,110242020,5,21,1,1,,,,,,,,,,,,
2015,110211,110242020,7,21,11,1,,12,,1,,1,,,,,,
2015,110211,110242020,8,21,,,,,,,,,,,,,,
2015,110211,110242020,9,21,,,,,,,,,,,,,,
2015,110211,110242020,11,21,,,,,,,,,,,,,,
2015,110211,110242020,12,21,,,,,,,,,,,,,,
2015,110211,110243017,8,21,,,,,,,,,,,,,,
2015,110211,110243017,9,21,,,,,,,,,,,,,,
2015,110211,110243017,10,21,,,,,,,,,,,,,,
2015,110211,110243017,11,21,,,,,,,,,,,,,,
2015,110211,110243017,12,21,,,,,,,,,,,,,,
2015,110211,110243018,4,21,,,,,,,,,,,,,,
2015,110211,110243018,6,21,,,,,,,,,,,,,,
2015,110211,110243018,7,21,,,,,,,,,,,,,,
2015,110211,110243018,8,21,,,,,,,,,,,,,,
2015,110211,110243018,10,21,,,,,,,,,,,,,,
2015,110211,110243018,11,21,,,,,,,,,,,,,,
2015,110211,110243019,10,21,,,,,,,,,,,,,,
2015,110211,110243019,11,21,,,,,,,,,,,,,,
2015,110211,110243021,4,21,,,,,,,,,,,,,,
2015,110211,110243021,5,21,,,,,,,,,,,,,,
2015,110211,110243021,6,21,,,,,,,,,,,,,,
2015,110211,110243021,7,21,,,,,,,,,,,,,,
2015,110211,110243021,8,21,,,,,,,,,,,,,,
2015,110211,110243021,9,21,,,,,,,,,,,,,,
2015,110211,110243021,10,21,,,,,,,,,,,,,,
2015,110211,110243021,11,21,,,,,,,,,,,,,,
2015,110211,110243021,12,21,,,,,,,,,,,,,,
2015,110211,110243022,4,21,,,,,,,,,,,,,,
2015,110211,110243022,5,21,,,,,,,,,,,,,,
2015,110211,110243022,6,21,,,,,,,,,,,,,,
2015,110211,110243022,7,21,,,,,,,,,,,,,,
2015,110211,110243022,8,21,,,,,,,,,,,,,,
2015,110211,110243022,9,21,,,,,,,,,,,,,,
2015,110211,110243022,11,21,,,,,,,,,,,,,,
2015,110211,110243035,8,21,,,,,,,,,,,,,,
2015,110211,110243035,9,21,,,,,,,,,,,,,,
2015,110211,110243035,10,21,,,,,,,,,,,,,,
2015,110211,110243035,11,21,,,,,,,,,,,,,,
2015,110211,110243035,12,21,,,,,,,,,,,,,,
2015,110212,110241023,4,21,,,,,,,,,,,,,,
2015,110212,110241023,5,21,,,,,,,,,,,,,,
2015,110212,110241023,6,21,,,,,,,,,,,,,,
2015,110212,110241023,7,21,34,2,,36,10,,,10,,,,,,
2015,110212,110241023,8,21,31,9,4,44,3,2,2,7,,,,,,
2015,110212,110241023,9,21,134,14,6,154,60,7,2,69,,,,,,
2015,110212,110241023,10,21,33,13,9,55,21,11,3,35,,,,,,
2015,110212,110241023,11,21,55,152,269,476,27,58,115,200,,,,,,
2015,110212,110241023,12,21,56,48,395,499,26,20,134,180,,,,,,
2015,110212,110242029,7,21,,,,,,,,,,,,,,
2015,110212,110242029,8,21,,,,,,,,,,,,,,
2015,110212,110242029,9,21,,,,,,,,,,,,,,
2015,110212,110242029,10,21,,,,,,,,,,,,,,
2015,110212,110242029,11,21,,,,,,,,,,,,,,
2015,110212,110242029,12,21,,,,,,,,,,,,,,
2015,110212,110243027,5,21,,,,,,,,,,,,,,
2015,110212,110243027,6,21,,,,,,,,,,,,,,
2015,110212,110243027,7,21,,,,,,,,,,,,,,
2015,110212,110243027,8,21,0,,,,,,,,,,,,,
2015,110212,110243027,9,21,,,,,,,,,,,,,,
2015,110212,110243027,10,21,,,,,,,,,,,,,,
2015,110212,110243027,11,21,,,,,,,,,,,,,,
2015,110212,110243027,12,21,,,,,,,,,,,,,,
2015,110213,110241031,8,21,0,,,,,,,,,,,,,
2015,110213,110241031,9,21,4,114,1,119,1,21,,22,,,,,,
2015,110213,110241031,10,21,1,6,,7,,4,,4,,,,,,
2015,110213,110241031,11,21,,,,,,,,,10,10,,,,
2015,110213,110241031,12,21,,1,,1,,,,,11,11,,,,
2015,110214,110241032,5,21,,,,,,,,,,,,,,
2015,110214,110241032,7,21,,,,,,,,,,,,,,
2015,110214,110241032,8,21,15,0,0,15,7,0,0,7,0,,,,,
2015,110214,110241032,9,21,274,,1,275,48,,,48,,,,,,
2015,110214,110241032,10,21,27,10,1,38,,,,,,,,,,
2015,110214,110241032,11,21,8,2,,10,2,1,,3,6,6,,,,
2015,110214,110241032,12,21,,,,,,,,,6,6,,,,
2015,110215,110241033,6,21,,,,,,,,,,,,,,
2015,110215,110241033,7,21,,,,,,,,,,,,,,
2015,110215,110241033,8,21,16,20,8,44,1,1,3,5,,,,,,
2015,110215,110241033,9,21,48,26,15,89,6,4,3,13,,,,,,
2015,110215,110241033,10,21,,13,8,21,,4,3,7,,,,,,
2015,110215,110241033,11,21,3,3,2,8,1,2,1,4,2,2,,,,
2015,110215,110241033,12,21,,,,,,,,,2,2,,,,
2015,110215,110243034,8,21,,,,,,,,,,,,,,
2015,110215,110243034,9,21,,,,,,,,,,,,,,
2015,110215,110243034,10,21,,,,,,,,,,,,,,
2015,110215,110243034,11,21,,,,,,,,,,,,,,
2015,110215,110243034,12,21,,,,,,,,,,,,,,
2015,110215,110243036,8,21,,,,,,,,,,,,,,
2015,110215,110243036,9,21,,,,,,,,,,,,,,
2015,110215,110243036,10,21,,,,,,,,,,,,,,
2015,110215,110243036,11,21,,,,,,,,,,,,,,
2015,110215,110243036,12,21,,,,,,,,,,,,,,
2015,110216,110241037,6,21,,,,,,,,,,,,,,
2015,110216,110241037,7,21,,,,,,,,,,,,,,
2015,110216,110241037,8,21,,,,,,,,,,,,,,
2015,110216,110241037,9,21,164,65,27,256,,,,,,,,,,
2015,110216,110241037,10,21,74,54,11,139,,,,,,,,,,
2015,110216,110241037,11,21,5,5,1,11,3,2,,5,,,,,,
2015,110216,110241037,12,21,,,,,,,,,,,,,,
2015,110216,110243038,8,21,,,,,,,,,,,,,,
2015,110216,110243038,10,21,,,,,,,,,,,,,,
2015,110216,110243038,11,21,,,,,,,,,,,,,,
2015,110216,110243038,12,21,,,,,,,,,,,,,,
2015,110216,110243039,7,21,,,,,,,,,,,,,,
2015,110216,110243039,8,21,,,,,,,,,,,,,,
2015,110216,110243039,9,21,,,,,,,,,,,,,,
2015,110216,110243039,10,21,,,,,,,,,,,,,,
2015,110216,110243039,11,21,,,,,,,,,,,,,,
2015,110216,110243039,12,21,,,,,,,,,,,,,,
2015,110216,110243067,7,21,,,,,,,,,,,,,,
2015,110216,110243067,9,21,,,,,,,,,,,,,,
2015,110216,110243067,10,21,,,,,,,,,,,,,,
2015,110216,110243067,11,21,,,,,,,,,,,,,,
2015,110216,110243067,12,21,,,,,,,,,,,,,,
2015,110217,110241040,4,21,,,,,,,,,,,,,,
2015,110217,110241040,7,21,,,,,,,,,,,,,,
2015,110217,110241040,8,21,0,,,,,,,,,,,,,
2015,110217,110241040,9,21,,,,,,,,,,,,,,
2015,110217,110241040,10,21,,,,,,,,,,,,,,
2015,110217,110241040,11,21,,,,,,,,,,,,,,
2015,110217,110241040,12,21,,151,,151,,,,,,,,,,
2015,110218,110241041,4,21,82,268,20,370,24,78,5,107,,,,,,
2015,110218,110241041,5,21,40,152,,192,10,45,,55,,,,,,
2015,110218,110241041,6,21,16,34,2,52,1,11,,12,,,,,,
2015,110218,110241041,7,21,68,,,68,17,,,17,,,,,,
2015,110218,110241041,8,21,110,39,12,161,32,6,2,40,,,,,,
2015,110218,110241041,9,21,239,80,9,328,101,42,9,152,,,,,,
2015,110218,110241041,10,21,87,40,10,137,25,10,3,38,,,,,,
2015,110218,110241041,11,21,15,,,15,5,,,5,,,,,,
2015,110218,110241041,12,21,1,3,,4,,,,,,,,,,
2015,110218,110243025,4,21,,,,,,,,,,,,,,
2015,110218,110243025,5,21,,,,,,,,,,,,,,
2015,110218,110243025,6,21,,,,,,,,,,,,,,
2015,110218,110243025,7,21,,,,,,,,,,,,,,
2015,110218,110243025,8,21,,,,,,,,,,,,,,
2015,110218,110243025,9,21,,,,,,,,,,,,,,
2015,110218,110243025,10,21,,,,,,,,,,,,,,
2015,110218,110243025,11,21,,,,,,,,,,,,,,
2015,110218,110243025,12,21,,,,,,,,,,,,,,
2015,110218,110243028,4,21,,,,,,,,,,,,,,
2015,110218,110243028,5,21,,,,,,,,,,,,,,
2015,110218,110243028,6,21,,,,,,,,,,,,,,
2015,110218,110243028,7,21,,,,,,,,,,,,,,
2015,110218,110243028,8,21,,,,,,,,,,,,,,
2015,110218,110243028,10,21,,,,,,,,,,,,,,
2015,110219,110241045,4,21,,,,,,,,,,,,,,
2015,110219,110241045,5,21,5,112,6,123,4,84,4,92,,,,,,
2015,110219,110241045,6,21,2,65,2,69,2,35,1,38,,,,,,
2015,110219,110241045,7,21,2,1,,3,,,,,,,,,,
2015,110219,110241045,8,21,6,4,2,12,,1,,1,,,,,,
2015,110219,110241045,9,21,12,9,9,30,2,1,2,5,,,,,,
2015,110219,110241045,10,21,17,18,13,48,5,6,7,18,,,,,,
2015,110219,110241045,11,21,2,,,2,,,,,,,,,,
2015,110219,110241045,12,21,,1,2,3,,,,,,,,,,
