cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cMEDIC_FAN_VFMP,cMEDIC_FAN_VECM,cMEDIC_FAN_DETTES,cMEDIC_FAN_VSCM,cMEDIC_FAN_CREREC,cMEDIC_FAN_VTFMC,cMEDIC_FAN_VPFMC,cMEDIC_FAN_ECART,cPHAGCO_FAN_SFMP,cPHAGCO_FAN_RCM,cPHAGCO_FAN_DETTE,cPHAGCO_FAN_DEP,cPHAGCO_FAN_AUTDCM,cPHAGCO_FAN_CREREC,cPHAGCO_FAN_RTFMC,cPHAGCO_FAN_SOLCA,cPHAGCO_FAN_SOLBA,cPHAGCO_FAN_ECART,cDEN_FAN_SFMP,cDEN_FAN_RCM,cDEN_FAN_DETTE,cDEN_FAN_DEP,cDEN_FAN_AUTDCM,cDEN_FAN_CREREC,cDEN_FAN_RTFMC,cDEN_FAN_SOLCA,cDEN_FAN_SOLBA,cDEN_FAN_ECART,cPHAGCO_FEQ_SFMP,cPHAGCO_FEQ_RCM,cPHAGCO_FEQ_SUBV,cPHAGCO_FEQ_DCM,cPHAGCO_FEQ_RTFMC,cPHAGCO_FEQ_SOLBA,cPHAGCO_FEQ_ECART,cDEN_FEQ_SFMP,cDEN_FEQ_RCM,cDEN_FEQ_SUBV,cDEN_FEQ_DCM,cDEN_FEQ_RTFMC,cDEN_FEQ_SOLBA,cDEN_FEQ_ECART
2015,210202,210251003,07,21,370683,0,0,197101,0,173582,173582,0,204489,166194,0,0,0,0,370683,,,,,,,,,,,,,,21067,4335,0,0,25402,,,,,,,,,
2015,210202,210251003,08,21,173582,0,0,64639,0,108943,108943,0,,,,,,,,,,,,,,,,,,,,,22753,1686,0,0,24439,24439,0,,,,,,,
2015,210202,210251003,09,21,108943,0,0,130134,0,-21191,-21191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210202,210251003,10,21,250685,616700,0,28015,0,839370,839370,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210202,210251003,11,21,862148,0,0,248798,0,613350,613350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210202,210251003,12,21,613350,0,0,260104,0,353246,353246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,210402,210451005,05,21,766558,0,0,67228,0,699330,699330,0,524431,67228,0,0,0,0,591659,67228,520200,-4231,,,,,,,,,,,1709,1494,0,0,3203,0,-3203,,,,,,,
2015,210402,210451005,06,21,699330,499343,0,162611,0,1036062,1065947,29885,587428,162611,0,395776,3614,0,350649,229839,120105,-705,,,,,,,,,,,3203,3614,0,0,6817,0,-6817,,,,,,,
2015,210402,210451005,07,21,1087361,0,0,162270,0,925091,875091,-50000,349944,162270,0,0,3606,0,508608,229498,275785,-3325,,,,,,,,,,,6817,3606,0,0,10423,0,-10423,,,,,,,
2015,210402,210451005,08,21,875091,0,0,172759,0,702332,705421,3089,505283,172759,0,0,3839,0,674203,242257,431465,-481,,,,,,,,,,,10423,3839,0,0,14262,,-14262,,,,,,,
