cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0005m_ENFMES,c0005m_ENFPES,c0005m_ENFPESMES,c0005m_PA_INFM2ET,c0005m_PT_INFM3ET,c0005m_PT_SUP2ET,c0005m_TA_INFM2ET,c0005m_ADM,c0005m_GUERIS,c0005m_DCD,c0005m_ABD,c0005m_AUTSOR,c0611m_ENFMES,c0611m_ENFPES,c0611m_ENFPESMES,c0611m_PA_INFM2ET,c0611m_PT_INFM3ET,c0611m_PT_SUP2ET,c0611m_TA_INFM2ET,c0611m_ADM,c0611m_GUERIS,c0611m_DCD,c0611m_ABD,c0611m_AUTSOR,c1223m_ENFMES,c1223m_ENFPES,c1223m_ENFPESMES,c1223m_PA_INFM2ET,c1223m_PT_INFM3ET,c1223m_PT_SUP2ET,c1223m_TA_INFM2ET,c1223m_ADM,c1223m_GUERIS,c1223m_DCD,c1223m_ABD,c1223m_AUTSOR,c2459m_ENFMES,c2459m_ENFPES,c2459m_ENFPESMES,c2459m_PA_INFM2ET,c2459m_PT_INFM3ET,c2459m_PT_SUP2ET,c2459m_TA_INFM2ET,c2459m_ADM,c2459m_GUERIS,c2459m_DCD,c2459m_ABD,c2459m_AUTSOR,cSNETOT_ENFMES,cSNETOT_ENFPES,cTotal_ENFPESMES,cSNETOT_PA_INFM2ET,cSNETOT_PT_INFM3ET,cSNETOT_PT_SUP2ET,cSNETOT_TA_INFM2ET,cSNETOT_ADM,cSNETOT_GUERIS,cSNETOT_DCD,cSNETOT_ABD,cSNETOT_AUTSOR,c0005m_VITA,c0005m_ALB,c0611m_VITA,c0611m_ALB,c1259m_VITA,c1259m_ALB,cSSMETOT_VITA,cSSMETOT_ALB
2015,110218,110243042,08,21,7,23,7,,,,,,,,,,2,9,2,1,,,,1,,,,,2,13,2,,,,,,,,,,6,15,6,,,,,,,,,,17,60,17,1,,,,1,,,,,,,2,,2,2,4,2
2015,110218,110243042,09,21,14,25,14,,,,,,,,,,4,17,4,2,,,,2,,,,,4,4,4,,,,,,,,,,,10,,,,,,,,,,,22,56,22,,,,,,,,,,,,4,,4,4,8,4
2015,110218,110243042,10,21,17,23,17,1,,,,1,,,,,7,11,7,2,,,,2,,,,,7,9,7,0,,,,,,,,,2,13,2,,,,,,,,,,33,56,33,3,,,,3,,,,,,,200,,2326,2326,2526,2326
2015,110218,110243042,11,21,13,23,13,2,,,,2,,,,,4,9,4,1,,,,1,,,,,5,12,5,,,,,,,,,,3,9,3,,,,,,,,,,25,53,25,,,,,,,,,,,,4,,5,5,9,5
2015,110218,110243042,12,21,10,17,10,1,,,,1,,,,,4,10,4,,,,,,,,,,3,9,3,2,,,,2,,,,,5,13,5,3,,,,3,,,,,22,49,22,6,,,,6,,,,,,,4,,8,8,12,8
2015,110218,110243068,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243068,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110301,110343013,04,21,48,48,48,2,1,,,,,,,,32,32,32,1,3,,,,,,,,40,40,40,1,,,,,,,,,33,33,33,2,2,,1,,,,,,153,153,153,6,6,,1,,,,,,,,,,,,,
2015,110301,110343013,05,21,22,22,22,,3,,,,,,,,28,28,28,1,3,,2,,,,,,50,50,50,8,5,,1,,,,,,65,65,65,10,1,,1,,,,,,165,165,165,19,12,,4,,,,,,,,,,,,,
2015,110301,110343013,06,21,3,43,43,2,1,,,,,,,,3,38,38,3,,1,,,,,,,7,29,29,2,,,,,,,,,10,55,55,2,,1,,,,,,,23,165,165,9,1,2,,,,,,,,,,,,,,
2015,110301,110343013,07,21,,28,28,1,1,,,,,,,,,30,30,3,3,1,,,,,,,,37,37,7,3,1,,,,,,,57,56,56,12,3,,1,,,,,,,,,,,,,,,,,,,,,,,5,,5
2015,110301,110343013,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110301,110343013,09,21,17,17,17,,,,,,,,,,21,21,21,2,,,,,,,,,14,14,14,2,2,1,,,,,,,18,18,18,,3,,2,,,,,,70,70,70,4,,1,,,,,,,,,,,,,,
2015,110301,110343013,10,21,,14,14,,,,,,,,,,,36,36,1,,,,,,,,,,21,21,4,,,,,,,,,,53,51,10,2,,,,,,,,,124,122,15,2,,,,,,,,,,,,,1,,1
2015,110301,110343013,11,21,,18,18,3,1,,,,,,,,,16,16,,,,,,,,,,,22,22,5,2,,,,,,,,,62,62,3,1,,,,,,,,,118,118,11,4,,,,,,,,,,,,,1,,1
2015,110301,110343013,12,21,38,38,38,4,1,,,,,,,,39,39,39,1,1,,,,,,,,69,69,69,4,1,1,1,,,,,,87,87,87,7,2,,,,,,,,233,233,233,16,5,1,1,,,,,,,,,,,5,,5
2015,110301,110343045,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110301,110343045,07,21,,12,,2,,,,,,,,,,65,,4,,,,,,,,,,73,,2,,,,,,,,,,42,,2,,,,,,,,,,192,,10,,,,,,,,,,,,,,,,
2015,110301,110343045,08,21,,9,,1,,,,,,,,,,14,,1,,,,,,,,,,37,,2,,,,,,,,,32,32,,2,,,1,,,,,,32,92,,6,,,1,,,,,,,,,,,7,,7
2015,110301,110343045,09,21,,31,,2,,,,,,,,,,38,,4,,,,,,,,,,41,,1,,,,,,,,,,55,,,,,,,,,,,,165,,7,,,,,,,,,,,,,,,,
2015,110301,110343045,10,21,,38,,2,,,,,,,,,,64,,3,,,,,,,,,,114,,6,,,,,,,,,,68,,4,,,,,,,,,,284,,15,,,,,,,,,,,,,,,,
2015,110301,110343045,11,21,,19,,2,,,,,,,,,,27,,1,,,,,,,,,,69,,1,,,,,,,,,,43,,0,,,,,,,,,,158,,4,,,,,,,,,,,,,,,,
2015,110301,110343045,12,21,,4,,1,,,,,,,,,,6,,,,,,,,,,,,12,,1,,,,,,,,,,9,,,,,,,,,,,,31,,2,,,,,,,,,,,,,,,,
2015,110302,110342010,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110302,110342010,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110302,110342010,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110303,110342008,05,21,,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,2,,2
2015,110303,110342008,11,21,,1,1,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,4,2,,1,,,,,,,,,,,,,,,
2015,110303,110343009,04,21,,5,8,,,,,,,,,,,3,11,1,,,,,,,,,,7,7,5,,,,,,,,,,2,1,,,,,,,,,,,17,27,6,,,,,,,,,,,1,,1,1,2,1
2015,110303,110343009,05,21,,2,4,2,,,,,,,,,,3,12,,,,,,,,,,,1,3,1,,,,,,,,,,2,,,,,,,,,,,,8,19,3,,,,,,,,,,,2,,,2,,
2015,110303,110343009,06,21,,3,6,,,,,,,,,,,1,8,1,,,,,,,,,,4,9,3,,,,,,,,,,2,1,,,,,,,,,,,10,24,4,,,,,,,,,,,,,3,5,3,5
2015,110303,110343009,07,21,,2,7,,,,,,,,,,,4,3,,,,,,,,,,,1,9,,,,,,,,,,,2,1,,,,,,,,,,,9,20,,,,,,,,,,,,,,1,3,1,3
2015,110303,110343009,08,21,,3,6,,,,,,,,,,,1,3,1,,,,,,,,,,5,1,,,,,,,,,,,5,,,,,,,,,,,,14,10,1,,,,,,,,,,,1,,,2,1,2
2015,110303,110343009,09,21,,1,3,,,,,,,,,,,1,2,,,,,,,,,,,9,6,,,,,,,,,,,5,2,,,,,,,,,,,16,13,,,,,,,,,,,,1,,1,2,2,2
2015,110303,110343009,10,21,,5,6,,,,,,,,,,,1,1,,,,,,,,,,,6,4,1,,,,,,,,,,8,1,,,,,,,,,,,20,12,1,,,,,,,,,,,3,,,5,3,5
2015,110303,110343009,11,21,,6,5,,,,,,,,,,,3,,,,,,,,,,,,4,2,1,,,,,,,,,,10,,,,,,,,,,,,23,7,1,,,,,,,,,,,,,3,3,3,3
2015,110303,110343009,12,21,,4,6,,,,,,,,,,,4,2,,,,,,,,,,,4,3,1,,,,,,,,,,11,,,,,,,,,,,,23,11,1,,,,,,,,,,,1,,1,1,2,1
2015,110305,110342016,04,21,,91,91,5,,,,,,,,,,33,33,5,,,,,,,,,,14,14,5,,,,,,,,,,17,17,2,,,,,,,,,,155,155,17,,,,,,,,,,,,,,,,
2015,110305,110342016,05,21,,82,82,3,,,,,,,,,,36,36,2,,,,,,,,,,5,5,,,,,,,,,,,2,2,1,,,,,,,,,,125,125,6,,,,,,,,,,,122,,911,911,1033,911
2015,110305,110342016,06,21,,86,86,,,,,,,,,,,21,21,,,,,,,,,,,7,7,,,,,,,,,,,4,4,,,,,,,,,,,118,118,,,,,,,,,,,,,,,,,
2015,110305,110342016,07,21,,,136,,,,,,,,,,,,81,,,,,,,,,,,,21,,1,,,,,,,,,,23,,,,,,,,,,,,261,,1,,,,,,,,,,,,,,,
2015,110305,110342016,08,21,,64,64,,,,,,,,,,,39,39,2,,,,,,,,,,40,40,3,,,,,,,,,,50,50,4,,,,,,,,,,193,193,9,,,,,,,,,,,,,,,,
2015,110305,110342016,09,21,,94,,5,,,,,,,,,,31,,2,,,,,,,,,,10,,1,,,,,,,,,,4,,,,,,,,,,,,139,,8,,,,,,,,,,,,,,,,
2015,110305,110342016,10,21,,113,113,5,2,,,,,,,,,43,43,1,2,,,,,,,,,10,10,1,,,,,,,,,,,,,,,,,,,,,,166,166,7,4,,,,,,,,,,100,,810,810,910,810
2015,110305,110342016,11,21,,69,69,,,,,,,,,,,14,14,4,,,,,,,,,,2,2,,,,,,,,,,,3,3,,,,,,,,,,,88,88,4,,,,,,,,,,,,,,,,
2015,110305,110342016,12,21,129,129,,2,,,,,,,,,82,82,,3,,,,,,,,,151,151,,1,,,,,,,,,143,143,,2,,,,,,,,,505,505,,8,,,,,,,,,,,,,,,,
2015,110305,110343014,04,21,,5,4,1,,,,,,,,,,8,20,2,,,,,,,,,,7,4,,,,,,,,,,,4,,1,,,,,,,,,,24,28,4,,,,,,,,,,,,,,10,,10
