cAnnee,cCodeNiv,cCodeStru,uid_dhis2,cPeriode,cTypeRapport,cSRO_NJRS
2015,110211,110242020,vrz5cxSKsAv,11,21,
2015,110211,110242020,vrz5cxSKsAv,12,21,
2015,110211,110243017,v52rjl7wfAI,08,21,
2015,110211,110243017,v52rjl7wfAI,09,21,
2015,110211,110243017,v52rjl7wfAI,10,21,
2015,110211,110243017,v52rjl7wfAI,11,21,
2015,110211,110243017,v52rjl7wfAI,12,21,
2015,110211,110243018,F1GiDijkn3g,07,21,
2015,110211,110243019,DaJRggDWDj5,07,21,
2015,110211,110243019,DaJRggDWDj5,08,21,
2015,110211,110243019,DaJRggDWDj5,10,21,
2015,110211,110243019,DaJRggDWDj5,11,21,
2015,110211,110243021,sqpTMp40Bgq,11,21,
2015,110211,110243021,sqpTMp40Bgq,12,21,
2015,110211,110243022,RNf4GafsxFy,04,21,
2015,110211,110243022,RNf4GafsxFy,05,21,
2015,110211,110243022,RNf4GafsxFy,06,21,
2015,110211,110243022,RNf4GafsxFy,07,21,
2015,110211,110243022,RNf4GafsxFy,08,21,
2015,110211,110243022,RNf4GafsxFy,09,21,
2015,110211,110243022,RNf4GafsxFy,11,21,
2015,110211,110243035,y5i5wWoFzNv,08,21,
2015,110211,110243035,y5i5wWoFzNv,09,21,
2015,110211,110243035,y5i5wWoFzNv,10,21,
2015,110211,110243035,y5i5wWoFzNv,11,21,
2015,110211,110243035,y5i5wWoFzNv,12,21,
2015,110212,110241023,AEaiWeZ2hPT,04,21,
2015,110212,110241023,AEaiWeZ2hPT,05,21,
2015,110212,110241023,AEaiWeZ2hPT,06,21,
2015,110212,110241023,AEaiWeZ2hPT,07,21,
2015,110212,110241023,AEaiWeZ2hPT,08,21,
2015,110212,110241023,AEaiWeZ2hPT,09,21,
2015,110212,110241023,AEaiWeZ2hPT,10,21,
2015,110212,110241023,AEaiWeZ2hPT,11,21,
2015,110212,110241023,AEaiWeZ2hPT,12,21,
2015,110212,110242029,EtUNDt7GqVL,07,21,
2015,110212,110242029,EtUNDt7GqVL,08,21,
2015,110212,110242029,EtUNDt7GqVL,09,21,
2015,110212,110242029,EtUNDt7GqVL,10,21,
2015,110212,110242029,EtUNDt7GqVL,11,21,
2015,110212,110242029,EtUNDt7GqVL,12,21,
2015,110212,110243027,lEnFsaymHg4,07,21,
2015,110212,110243027,lEnFsaymHg4,08,21,
2015,110212,110243027,lEnFsaymHg4,09,21,
2015,110212,110243027,lEnFsaymHg4,11,21,
2015,110212,110243027,lEnFsaymHg4,12,21,
2015,110213,110241031,BAeyB6PAEzV,04,21,
2015,110213,110241031,BAeyB6PAEzV,05,21,
2015,110213,110241031,BAeyB6PAEzV,06,21,30
2015,110213,110241031,BAeyB6PAEzV,07,21,
2015,110213,110241031,BAeyB6PAEzV,08,21,
2015,110213,110241031,BAeyB6PAEzV,09,21,
2015,110213,110241031,BAeyB6PAEzV,10,21,
2015,110213,110241031,BAeyB6PAEzV,11,21,
2015,110213,110241031,BAeyB6PAEzV,12,21,
2015,110214,110241032,tNEraf8CjFK,04,21,
2015,110214,110241032,tNEraf8CjFK,05,21,
2015,110214,110241032,tNEraf8CjFK,06,21,
2015,110214,110241032,tNEraf8CjFK,07,21,
2015,110214,110241032,tNEraf8CjFK,08,21,
2015,110214,110241032,tNEraf8CjFK,09,21,
2015,110214,110241032,tNEraf8CjFK,10,21,
2015,110214,110241032,tNEraf8CjFK,11,21,
2015,110214,110241032,tNEraf8CjFK,12,21,
2015,110215,110241033,sptZxu379lA,04,21,
2015,110215,110241033,sptZxu379lA,05,21,
2015,110215,110241033,sptZxu379lA,06,21,
2015,110215,110241033,sptZxu379lA,07,21,
2015,110215,110241033,sptZxu379lA,08,21,
2015,110215,110241033,sptZxu379lA,09,21,
2015,110215,110241033,sptZxu379lA,10,21,
2015,110215,110241033,sptZxu379lA,11,21,
2015,110215,110241033,sptZxu379lA,12,21,
2015,110215,110243034,YfPYVBOqomZ,08,21,
2015,110215,110243034,YfPYVBOqomZ,09,21,
2015,110215,110243034,YfPYVBOqomZ,10,21,
2015,110215,110243034,YfPYVBOqomZ,11,21,
2015,110215,110243034,YfPYVBOqomZ,12,21,
2015,110215,110243036,rvkCdd66AtH,08,21,
2015,110215,110243036,rvkCdd66AtH,09,21,
2015,110215,110243036,rvkCdd66AtH,10,21,
2015,110215,110243036,rvkCdd66AtH,11,21,
2015,110215,110243036,rvkCdd66AtH,12,21,
2015,110216,110241037,tffAZBAGBAb,04,21,
2015,110216,110241037,tffAZBAGBAb,05,21,
2015,110216,110241037,tffAZBAGBAb,06,21,
2015,110216,110241037,tffAZBAGBAb,07,21,
2015,110216,110241037,tffAZBAGBAb,08,21,
2015,110216,110241037,tffAZBAGBAb,09,21,
2015,110216,110241037,tffAZBAGBAb,10,21,
2015,110216,110241037,tffAZBAGBAb,11,21,
2015,110216,110241037,tffAZBAGBAb,12,21,
2015,110216,110243038,IwDTiXXj4rZ,08,21,
2015,110216,110243038,IwDTiXXj4rZ,09,21,
2015,110216,110243038,IwDTiXXj4rZ,10,21,
2015,110216,110243038,IwDTiXXj4rZ,11,21,
2015,110216,110243038,IwDTiXXj4rZ,12,21,
2015,110216,110243039,JRP7LuXuM5v,07,21,
2015,110216,110243039,JRP7LuXuM5v,08,21,
2015,110216,110243039,JRP7LuXuM5v,09,21,
2015,110216,110243039,JRP7LuXuM5v,10,21,
2015,110216,110243039,JRP7LuXuM5v,11,21,
2015,110216,110243039,JRP7LuXuM5v,12,21,
2015,110216,110243067,jge8O441RAT,07,21,
2015,110216,110243067,jge8O441RAT,09,21,
2015,110216,110243067,jge8O441RAT,10,21,
2015,110216,110243067,jge8O441RAT,11,21,
2015,110217,110241040,HN5GYbN2pzt,04,21,
2015,110217,110241040,HN5GYbN2pzt,05,21,
2015,110217,110241040,HN5GYbN2pzt,06,21,
2015,110217,110241040,HN5GYbN2pzt,07,21,
2015,110217,110241040,HN5GYbN2pzt,08,21,
2015,110217,110241040,HN5GYbN2pzt,09,21,
2015,110217,110241040,HN5GYbN2pzt,10,21,
2015,110217,110241040,HN5GYbN2pzt,11,21,
2015,110217,110241040,HN5GYbN2pzt,12,21,
2015,110218,110241041,OVJ7OBfdziP,04,21,
2015,110218,110241041,OVJ7OBfdziP,05,21,
2015,110218,110241041,OVJ7OBfdziP,06,21,
2015,110218,110241041,OVJ7OBfdziP,07,21,
2015,110218,110241041,OVJ7OBfdziP,08,21,
2015,110218,110241041,OVJ7OBfdziP,09,21,
2015,110218,110241041,OVJ7OBfdziP,10,21,
2015,110218,110241041,OVJ7OBfdziP,11,21,
2015,110218,110241041,OVJ7OBfdziP,12,21,
2015,110218,110243025,IycHQzSZlQ1,04,21,
2015,110218,110243025,IycHQzSZlQ1,05,21,
2015,110218,110243025,IycHQzSZlQ1,06,21,
2015,110218,110243025,IycHQzSZlQ1,07,21,
2015,110218,110243025,IycHQzSZlQ1,08,21,
2015,110218,110243025,IycHQzSZlQ1,09,21,
2015,110218,110243025,IycHQzSZlQ1,10,21,
2015,110218,110243025,IycHQzSZlQ1,11,21,
